,response_id,gispropnum,collected_date,time_of_day,group,location,ground_syringes,kiosk_syringes,total_syringes,precinct,borough,district,property_type,kiosk_site,latitude,longitude
6014,G-007401,M037,2021-01-29,Daily,Parks,Highbridge Park,34.0,,34.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6015,G-007411,M037,2021-01-31,Daily,Parks,Highbridge Park,33.0,,33.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6016,G-007443,M037,2021-02-15,Daily,Parks,Highbridge Park,30.0,,30.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6017,G-007444,M037,2021-02-16,Daily,Parks,Highbridge Park,18.0,,18.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6018,G-007448,M037,2021-02-17,Daily,Parks,Highbridge Park,55.0,,55.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6019,G-007458,M037,2021-02-22,Daily,Parks,Highbridge Park,2.0,,2.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6020,G-007459,M037,2021-02-23,Daily,Parks,Highbridge Park,21.0,,21.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6021,G-007460,M037,2021-02-24,Daily,Parks,Highbridge Park,26.0,,26.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6022,G-007461,M037,2021-02-25,Daily,Parks,Highbridge Park,93.0,,93.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6023,G-007269,M037,2021-01-14,Daily,Parks,Highbridge Park,588.0,,588.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6024,G-007264,M037,2021-01-13,Daily,Parks,Highbridge Park,668.0,,668.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6025,G-007265,M037,2021-01-10,Daily,Parks,Highbridge Park,112.0,,112.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6026,G-007266,M037,2021-01-11,Daily,Parks,Highbridge Park,56.0,,56.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6027,G-007267,M037,2021-01-12,Daily,Parks,Highbridge Park,181.0,,181.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6028,G-007218,M037,2021-01-03,Daily,Parks,Highbridge Park,94.0,,94.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6029,G-007219,M037,2021-01-04,Daily,Parks,Highbridge Park,154.0,,154.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6030,G-007220,M037,2021-01-05,Daily,Parks,Highbridge Park,533.0,,533.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6031,G-007224,M037,2021-01-06,Daily,Parks,Highbridge Park,585.0,,585.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6032,G-007225,M037,2021-01-07,Daily,Parks,Highbridge Park,602.0,,602.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6033,G-007228,M037,2021-01-08,Daily,Parks,Highbridge Park,43.0,,43.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6034,G-007292,M037,2021-01-17,Daily,Parks,Highbridge Park,162.0,,162.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6035,G-007293,M037,2021-01-18,Daily,Parks,Highbridge Park,78.0,,78.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6036,G-007294,M037,2021-01-19,Daily,Parks,Highbridge Park,567.0,,567.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6037,G-007301,M037,2021-01-20,Daily,Parks,Highbridge Park,328.0,,328.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6038,G-007321,M037,2021-01-18,Daily,Parks,Highbridge Park,78.0,,78.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6039,G-007322,M037,2021-01-20,Daily,Parks,Highbridge Park,328.0,,328.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6040,G-007323,M037,2021-01-21,Daily,Parks,Highbridge Park,72.0,,72.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6041,G-007324,M037,2021-01-22,Daily,Parks,Highbridge Park,45.0,,45.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6042,G-007136,M037,2020-12-13,Daily,Parks,Highbridge Park,83.0,,83.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6043,G-007137,M037,2020-12-14,Daily,Parks,Highbridge Park,93.0,,93.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6044,G-007138,M037,2020-12-15,Daily,Parks,Highbridge Park,116.0,,116.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6045,G-007180,M037,2020-12-24,Daily,Parks,Highbridge Park,14.0,,14.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6046,G-007181,M037,2020-12-25,Daily,Parks,Highbridge Park,6.0,,6.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6047,G-007185,M037,2020-12-27,Daily,Parks,Highbridge Park,108.0,,108.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6048,G-007186,M037,2020-12-28,Daily,Parks,Highbridge Park,115.0,,115.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6049,G-007197,M037,2020-12-30,Daily,Parks,Highbridge Park,89.0,,89.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6050,G-007084,M037,2020-12-06,Daily,Parks,Highbridge Park,77.0,,77.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6051,G-007085,M037,2020-12-07,Daily,Parks,Highbridge Park,97.0,,97.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6052,G-007086,M037,2020-12-08,Daily,Parks,Highbridge Park,99.0,,99.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6053,G-007087,M037,2020-12-09,Daily,Parks,Highbridge Park,78.0,,78.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6054,G-007088,M037,2020-12-10,Daily,Parks,Highbridge Park,84.0,,84.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6055,G-007093,M037,2020-12-11,Daily,Parks,Highbridge Park,29.0,,29.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6056,G-003512,M037,2019-07-11,Daily,Parks,Highbridge Park,146.0,,146.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6057,G-003513,M037,2019-07-09,Daily,Parks,Highbridge Park,94.0,,94.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6058,G-003514,M037,2019-07-10,Daily,Parks,Highbridge Park,207.0,,207.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6059,G-003515,M037,2019-07-08,Daily,Parks,Highbridge Park,216.0,,216.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6060,G-003567,M037,2019-07-15,Daily,Parks,Highbridge Park,65.0,,65.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6061,G-003568,M037,2019-07-16,Daily,Parks,Highbridge Park,365.0,,365.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6062,G-003569,M037,2019-07-17,Daily,Parks,Highbridge Park,175.0,,175.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6063,G-003575,M037,2019-07-18,Daily,Parks,Highbridge Park,327.0,,327.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6064,G-003584,M037,2019-07-22,Daily,Parks,Highbridge Park,655.0,,655.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6065,G-003528,M037,2019-07-12,Daily,Parks,Highbridge Park,76.0,,76.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6066,G-003671,M037,2019-07-25,Daily,Parks,Highbridge Park,274.0,,274.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6067,G-003704,M037,2019-07-27,Daily,Parks,Highbridge Park,101.0,,101.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6068,G-003801,M037,2019-07-30,Daily,Parks,Highbridge Park,642.0,,642.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6069,G-004052,M037,2019-08-13,Daily,Parks,Highbridge Park,96.0,,96.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6070,G-004053,M037,2019-08-14,Daily,Parks,Highbridge Park,42.0,,42.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6071,G-004008,M037,2019-08-08,Daily,Parks,Highbridge Park,383.0,,383.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6072,G-003955,M037,2019-08-07,Daily,Parks,Highbridge Park,200.0,,200.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6073,G-003937,M037,2019-08-06,Daily,Parks,Highbridge Park,276.0,,276.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6074,G-003888,M037,2019-08-01,Daily,Parks,Highbridge Park,75.0,,75.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6075,G-003834,M037,2019-07-31,Daily,Parks,Highbridge Park,325.0,,325.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
